$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
41.250,5.385835613
41.292,5.372705484
41.333,5.264792237
41.375,5.264792237
41.417,5.252482741
41.458,5.151380748
41.500,5.151380748
41.542,5.151380748
41.583,5.163690244
41.625,5.189950501
41.667,5.189950501
41.708,5.202259997
41.750,5.30336199
41.792,5.316492119
41.833,5.328801615
41.875,5.436714863
41.917,5.449024358
41.958,5.550126351
42.000,5.550126351
42.042,5.497188748
42.083,5.497188748
42.125,5.497188748
42.167,5.4822753
42.208,5.4822753
42.250,5.4822753
42.292,5.4822753
42.333,5.387255326
42.375,5.373273968
42.417,5.387255326
42.458,5.387255326
42.500,5.387255326
42.542,5.402168775
42.583,5.416150133
42.625,5.416150133
42.667,5.430131491
42.708,5.525151465
42.750,5.525151465
42.792,5.540064913
42.833,5.540064913
42.875,5.643127497
42.917,5.643127497
42.958,5.643127497
43.000,5.643127497
43.042,5.61686465
43.083,5.61686465
43.125,5.61686465
43.167,5.61686465
43.208,5.61686465
43.250,5.61686465
43.292,5.61686465
43.333,5.61686465
43.375,5.603488854
43.417,5.603488854
43.458,5.603488854
43.500,5.603488854
43.542,5.61686465
43.583,5.631132166
43.625,5.645399682
43.667,5.645399682
43.708,5.658775478
43.750,5.658775478
43.792,5.672151274
43.833,5.793628981
43.875,5.793628981
43.917,5.793628981
43.958,5.879871019
44.000,5.866495223
44.042,5.897780552
44.083,5.8855275
44.125,5.873274448
44.167,5.794362128
44.208,5.782874892
44.250,5.698701751
44.292,5.687214515
44.333,5.596049143
44.375,5.584561907
44.417,5.500388766
44.458,5.500388766
44.500,5.500388766
44.542,5.511876002
44.583,5.524129054
44.625,5.535616291
44.667,5.547103527
44.708,5.547103527
44.750,5.64352972
44.792,5.655782772
44.833,5.655782772
44.875,5.746182328
44.917,5.746182328
44.958,5.830355469
45.000,5.818868233
45.042,5.82238027
45.083,5.82238027
45.125,5.82238027
45.167,5.82238027
45.208,5.729836308
45.250,5.729836308
